ADD_NUM,LF_NAME,ADDRESS,POSTAL_CD,CITY,X,Y,LONGITUDE,LATITUDE,FAC_NAM,STE_FLR_UN,PERFRMANCE,EXHBVISART,SCRN_BASSE,LIBRARY,MULTIPURP,HERITAGE,OWNERSHIP,OBJECTID
3465,Dundas St W,3465 Dundas St W,M6S 2S5,Toronto,305795.585,4835942.551,-79.4874609984,43.6654337415,Club Hispano,,1,1,0,0,0,0,Owned by others,191
181,Glenlake Ave,181 Glenlake Ave,M6P 4B6,Toronto,307834.85,4835127.684,-79.4621805935,43.6580934399,Keele Community Centre,,0,0,0,0,1,0,City Owned,194
288,Humberside Ave,288 Humberside Ave,M6P 1L5,Toronto,307268.847,4835411.316,-79.4691962308,43.6606487052,St. Johns West Toronto Anglican Church,,1,0,0,0,1,0,Owned by others,195
238,Jane St,238 Jane St,M6S 3Z1,Toronto,305831.038,4834780.388,-79.487020862,43.654963875,Art Works Art School,,0,1,0,0,0,0,Owned by others,196
95,Lavinia Ave,95 Lavinia Ave,M6S 3H9,Toronto,306568.733,4833967.983,-79.4778816997,43.6476583651,Swansea Memorial Library,,0,0,0,1,0,0,City Owned,199
4066,Old Dundas St,4066 Old Dundas St,M6S 2R6,Toronto,304493.023,4835688.812,-79.5036113403,43.6631499725,Lambton House,,0,1,1,0,1,1,City Owned,200
396,Pacific Ave,396 Pacific Ave,M6P 2R1,Toronto,307304.397,4835926.822,-79.4687528021,43.6652888472,The Junction Business Improvement Area (BIA),Suite 205,1,0,0,0,0,0,Owned by others,201
280,Quebec Ave,280 Quebec Ave,M6P 2V3,Toronto,307151.945,4835333.803,-79.4706460639,43.6599512926,Humberside Collegiate Institute (Lismer Hall),,1,1,1,0,1,0,Owned by others,202
15,Waller Ave,15 Waller Ave,M6S 4Z9,Toronto,306630.38,4833574.02,-79.477118803,43.6441120631,Swansea Community Recreation Centre,,1,0,0,0,1,0,City Owned,204
207,Windermere Ave,207 Windermere Ave,M6S 3J9,Toronto,306632.849,4833502.245,-79.4770883043,43.6434659632,Swansea Public School,,1,1,1,0,1,0,Owned by others,205
4,Morningside Ave,4 Morningside Ave,M6S 1C2,Toronto,306959.67,4833823.589,-79.4730363216,43.6463576469,Morningside - High Park Presbyterian Church,,1,0,0,0,1,0,Owned by others,208
2232,Bloor St W,2232 Bloor St W,M6S 1N6,Toronto,306652.233,4834370.557,-79.4768454577,43.6512818731,Bread and Roses Bakery Caf�,,0,1,0,0,0,0,Owned by others,212
365,Jane St,365 Jane St,M6S 3Z3,Toronto,305793.129,4835077.59,-79.4874933839,43.65764777,Coco Organic Chocolate,,0,1,0,0,0,0,Owned by others,214
151,Annette St,151 Annette St,M6P 1P3,Toronto,307472.588,4835699.341,-79.4666685828,43.6632406098,Victoria Lodge #474,,0,0,0,0,1,0,Owned by others,215
2960,Dundas St W,2960 Dundas St W,M6P 1Y8,Toronto,307359.974,4835968.584,-79.4680634753,43.6656645696,The Train Platform (Dundas West),,0,0,0,0,1,0,Owned by others,216
14,St Mark's Rd,14 St Mark's Rd,M6S 2H7,Toronto,305505.511,4835390.107,-79.4910586436,43.6604612262,Humbercrest School,,0,0,0,0,1,0,Owned by others,218
1515,Bloor St W,1515 Bloor St W,M6P 1A3,Toronto,308671.405,4834880.699,-79.4518109669,43.6558664136,Bishop Marrocco/Thomas Merton Catholic Secondary School,,1,0,0,0,1,0,Owned by others,224
1573,Bloor St W,1573 Bloor St W,M6P 1A6,Toronto,308482.599,4834870.267,-79.4541518338,43.6557734003,Lithuanian Community House,,1,0,0,0,1,0,Owned by others,226
77,Brock Ave,77 Brock Ave,M6K 2L3,Toronto,310180.573,4833571.884,-79.4331138817,43.6440766047,The Japanese Paper Place,,0,1,0,0,0,0,Owned by others,229
186,Cowan Ave,186 Cowan Ave,M6K 2N6,Toronto,310209.516,4833091.607,-79.4327598456,43.639753256,St. John's National Polish Catholic Cathedral,,0,0,0,0,1,0,Owned by others,230
376,Dufferin St,376 Dufferin St,M6K 1Z8,Toronto,310544.094,4833302.056,-79.4286107712,43.6416452317,Unit 102 Theatre,,1,0,0,0,0,0,Owned by others,234
2261,Dundas St W,2261 Dundas St W,M6R 1X6,Toronto,308628.232,4834749.364,-79.452347095,43.6546844077,Hugh's Room,,1,0,0,0,0,0,Owned by others,237
2340,Dundas St W,2340 Dundas St W,M6P 4A9,Toronto,308634.118,4834975.935,-79.4522725916,43.6567238551,Trebas Institute,,0,0,1,0,0,0,Owned by others,238
1225,Lake Shore Blvd W,1225 Lake Shore Blvd W,M6K 3C1,Toronto,309950.168,4832276.372,-79.435978594,43.632407959,Argonaut Rowing Club,,1,0,0,0,1,0,Owned by others,241
1601,Lake Shore Blvd W,1601 Lake Shore Blvd W,M6K 3C1,Toronto,309046.187,4832753.98,-79.4471810358,43.6367213239,Palais Royale,,1,0,0,0,1,0,Owned by others,242
75,Lansdowne Ave,75 Lansdowne Ave,1,Toronto,309829.411,4833496.928,-79.4374672578,43.6434041798,Parkdale Community Recreation Centre,,0,0,0,0,1,0,City operated,244
21,Morrow Ave,21 Morrow Ave,M6R 2H9,Toronto,309094.851,4834538.147,-79.4465638338,43.6527808603,Christopher Cutts Gallery,,0,1,0,0,0,0,Owned by others,246
1255,Queen St W,1255 Queen St W,M6K 1L5,Toronto,310366.185,4833279.753,-79.4308161525,43.6414457576,Stone's Place,,1,0,0,0,0,0,Owned by others,249
1266,Queen St W,1266 Queen St W,M6K 1L3,Toronto,310461.414,4833392.043,-79.4296346421,43.6424558411,Goodfellas Gallery,,0,1,0,0,0,0,Owned by others,250
345,Sorauren Ave,345 Sorauren Ave,M6R 2G5,Toronto,309295.802,4834170.21,-79.4440758674,43.6494678218,Gallery 345 (Circuit Gallery),,1,1,0,0,1,0,Owned by others,265
11,Strickland Ave,11 Strickland Ave,M6K 3E6,Toronto,310367.922,4833468.74,-79.4307927126,43.6431468801,David Scott Gallery,,0,1,0,0,0,0,Owned by others,266
2213,Dufferin St,2213 Dufferin St,M6E 3S2,Toronto,308976.328,4838816.25,-79.447999918,43.6912901523,Fairbank Memorial Community Centre,,0,0,0,0,1,0,City Owned,268
1745,Eglinton Ave W,1745 Eglinton Ave W,M6E 2H4,Toronto,309036.495,4839343.91,-79.4472496558,43.6960393219,Maria A. Shchuka Branch (TPL),,1,0,0,1,1,0,City Operated,271
12,Flemington Rd,12 Flemington Rd,M6A 2N4,Toronto,309219.488,4841954.03,-79.4449585448,43.7195328701,Unison Health & Community Services (Lawrence Heights),,0,0,0,0,1,0,Owned by others,272
47,Glenbrook Ave,47 Glenbrook Ave,M6B 2L7,Toronto,308650.76,4840820.31,-79.4520247079,43.7093311344,Beth Torah Congregation,,1,0,0,0,1,0,Owned by others,275
901,Lawrence Ave W,901 Lawrence Ave W,M6A 1C3,Toronto,308270.09,4841229.203,-79.4567456639,43.7130135156,Columbus Centre (Joseph D. Carrier Art Gallery),,0,1,0,0,0,0,Owned by others,276
901,Lawrence Ave W,901 Lawrence Ave W,M6A 1C3,Toronto,308270.09,4841229.203,-79.4567456639,43.7130135156,Multicultural History Society of Ontario,Suite 307,0,1,0,0,0,0,Owned by others,277
247,Marlee Ave,247 Marlee Ave,M6B 4B8,Toronto,309453.994,4840424.151,-79.4420612826,43.7057608754,Chalkers Pub Billiards Bistro,,1,0,0,0,0,0,Owned by others,278
