stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
263,929,DAVENPORT RD AT BEDFORD RD,,43.674448,-79.399696,,,,,1
264,940,DAVENPORT RD AT DUPONT ST,,43.67554,-79.40196,,,,,2
265,1871,DAVISVILLE AVE AT CLEVELAND ST,,43.702096,-79.378146,,,,,1
266,11700,DISCO RD AT ATTWELL DR,,43.701331,-79.594777,,,,,1
267,3478,DISCO RD AT ATTWELL DR,,43.701057,-79.595799,,,,,1
268,3479,DISCO RD AT CARLINGVIEW DR EAST SIDE,,43.69982,-79.600767,,,,,1
269,3480,DISCO RD AT CARLINGVIEW DR,,43.699893,-79.601112,,,,,1
270,14258,DON MILLS RD AT EGLINTON AVE EAST,,43.720669,-79.339096,,,,,1
271,9125,DON MILLS RD AT EGLINTON AVE NORTH SIDE,,43.720899,-79.338799,,,,,1
273,14255,DON MILLS RD AT LAWRENCE AVE EAST SOUTH SIDE,,43.736628,-79.343412,,,,,1
274,1950,DON MILLS RD AT LEITH HILL RD,,43.777289,-79.348111,,,,,1
275,14260,DON MILLS RD AT OVERLEA BLVD SOUTH SIDE,,43.709506,-79.334342,,,,,2
278,1974,DON MILLS RD AT STEELES AVE EAST,,43.810988,-79.360504,,,,,1
279,1975,DON MILLS RD AT VAN HORNE AVE,,43.787221,-79.352777,,,,,1
280,1977,DON MILLS RD AT WYNFORD DR,,43.722834,-79.339334,,,,,1
284,5006,DONCASTER AVE AT MAIN ST WEST SIDE,,43.691661,-79.303783,,,,,1
285,5007,DONCASTER AVE AT MAIN ST,,43.691625,-79.303534,,,,,1
286,5008,DONCASTER AVE AT MAIN ST,,43.691818,-79.303107,,,,,1
289,9288,DREWRY AVE AT GARDENIA CRT,,43.783894,-79.431722,,,,,1
290,9275,DREWRY AVE AT GRANTBROOK ST,,43.783568,-79.433604,,,,,1
291,979,DUFFERIN ST AT YORKDALE RD,,43.726452,-79.457354,,,,,1
293,985,DUFFERIN ST AT JANE OSLER BLVD NORTHSIDE YORKDALE SHOPPING,,43.725085,-79.457,,,,,1
295,9856,DUNDAS ST WEST AT BLOOR ST WEST,,43.656518,-79.452575,,,,,2
296,9942,DUNDAS ST WEST AT JANE ST EAST SIDE,,43.66559,-79.490416,,,,,2
297,9943,DUNDAS ST WEST AT JANE ST WEST SIDE,,43.665752,-79.492169,,,,,2
298,4455,DUNDAS ST WEST AT RUNNYMEDE RD WEST SIDE,,43.665634,-79.482905,,,,,1
299,5026,DUNDAS ST WEST AT RUNNYMEDE RD,,43.665532,-79.482619,,,,,1
303,13898,DUPLEX AVE AT EGLINTON AVE WEST,,43.70623,-79.400108,,,,,1
308,11181,EASTERN AVE AT QUEEN ST EAST SOUTH SIDE,,43.666782,-79.312722,,,,,1
309,13486,EASTERN AVE AT QUEEN ST EAST,,43.667047,-79.312485,,,,,2
310,9855,EDNA AVE AT DUNDAS ST WEST,,43.657149,-79.45303,,,,,2
311,1031,2495 EGLINTON AVE EAST AT SOUTH SERVICE RD (EAST),,43.734039,-79.259799,,,,,1
312,2240,EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE,,43.711112,-79.376375,,,,,2
313,11677,EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE,,43.71116,-79.376137,,,,,2
314,11678,EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE,,43.711207,-79.375903,,,,,2
316,11681,EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE,,43.711304,-79.375427,,,,,2
317,2253,EGLINTON AVE EAST AT BRIMLEY RD WEST SIDE,,43.736651,-79.248758,,,,,1
318,10467,EGLINTON AVE EAST AT EGLINTON SQ,,43.725114,-79.300488,,,,,1
320,3539,EGLINTON AVE EAST AT KENNEDY STATION,,43.732292,-79.267117,,,,,1
321,5071,EGLINTON AVE EAST AT LAIRD DR,,43.713371,-79.365371,,,,,1
322,2288,EGLINTON AVE EAST AT MARKHAM RD WEST SIDE,,43.743144,-79.219598,,,,,1
323,1036,EGLINTON AVE EAST AT MIDLAND AVE WEST SIDE,,43.734473,-79.258876,,,,,2
324,9113,EGLINTON AVE EAST AT MT PLEASANT RD EAST SIDE,,43.708511,-79.389255,,,,,1
325,9114,EGLINTON AVE EAST AT MT PLEASANT RD EAST SIDE,,43.708445,-79.389573,,,,,1
326,5081,EGLINTON AVE EAST AT YONGE ST (EGLINTON STATION),,43.707057,-79.397259,,,,,1
327,9111,EGLINTON AVE EAST AT HOLLY ST EAST SIDE,,43.706881,-79.397351,,,,,1
328,9112,EGLINTON AVE EAST AT HOLLY ST EAST SIDE,,43.7069,-79.397269,,,,,1
330,11488,EGLINTON AVE WEST AT AVENUE RD EAST SIDE,,43.70464,-79.407957,,,,,1
331,9897,EGLINTON AVE WEST AT YONGE ST,,43.706455,-79.399436,,,,,1
334,9896,EGLINTON AVE WEST AT EVERDEN RD (EGLINTON WEST STATION),,43.698756,-79.43565,,,,,1
335,9895,EGLINTON AVE WEST AT EVERDEN RD (EGLINTON WEST STATION),,43.698853,-79.435954,,,,,1
336,2354,EGLINTON AVE WEST AT GLENARDEN RD,,43.699554,-79.432524,,,,,1
337,2366,EGLINTON AVE WEST AT JANE ST EAST SIDE,,43.684527,-79.498073,,,,,1
338,2380,EGLINTON AVE WEST AT MARLEE AVE,,43.698126,-79.439203,,,,,1
339,13440,EGLINTON AVE WEST AT MARLEE AVE,,43.698176,-79.438961,,,,,1
340,2388,EGLINTON AVE WEST AT OAKWOOD AVE,,43.697197,-79.442945,,,,,1
341,11283,EGLINTON AVE WEST AT RENFORTH DR LOOP,,43.664767,-79.588765,,,,,1
342,9383,EGLINTON AVE EAST AT WESTON RD,,43.686776,-79.489819,,,,,1
343,2419,EGLINTON AVE WEST AT WESTON RD,,43.687125,-79.489313,,,,,1
344,9898,EGLINTON AVE WEST AT YONGE ST WEST SIDE,,43.706695,-79.398956,,,,,1
345,11506,8TH ST AT BIRMINGHAM ST,,43.602776,-79.507259,,,,,2
346,3543,EIGHTH ST AT LAKE SHORE BLVD WEST NORTH SIDE,,43.60077,-79.506438,,,,,1
348,10904,ELLESMERE RD AT MIRROW CRT,,43.787272,-79.18517,,,,,2
349,9622,ELLESMERE RD AT EAST SERVICE RD,,43.767397,-79.273112,,,,,2
350,9619,ELLESMERE RD AT EAST SERVICE RD,,43.767742,-79.272603,,,,,1
351,9604,ELLESMERE RD AT MCCOWAN RD EAST SIDE,,43.772266,-79.250482,,,,,1
352,6368,ELLESMERE RD AT PHARMACY AVE,,43.758897,-79.310467,,,,,1
353,6372,ELLESMERE RD AT VICTORIA PARK AVE,,43.75812,-79.31473,,,,,1
354,9621,ELLESMERE RD AT WEST SERVICE RD EAST SIDE,,43.766137,-79.278989,,,,,2
355,9620,ELLESMERE RD AT WEST SERVICE RD,,43.76645,-79.278665,,,,,2
357,11107,ERSKINE AVE AT MT PLEASANT RD WEST SIDE,,43.712506,-79.392504,,,,,1
358,6375,THE ESPLANADE AT LOWER JARVIS ST EAST SIDE,,43.648271,-79.37048,,,,,1
359,2435,EVANS AVE AT BROWNS LINE,,43.610776,-79.54899,,,,,2
362,11202,FARNBORO RD AT ATTWELL DR EAST SIDE,,43.691581,-79.586891,,,,,1
363,9910,FINCH AVE EAST AT FINCHDENE SQ WEST SIDE,,43.8155,-79.231904,,,,,1
364,9909,FINCH AVE EAST AT NEILSON RD WEST SIDE,,43.816209,-79.228498,,,,,2
365,9912,FINCH AVE EAST AT YONGE ST EAST SIDE,,43.779839,-79.414795,,,,,1
